9.15	7.06	5.1	3.51	3.48	0	15.69	25.66	34.66	33.04	36.87
20.18	16.74	17.77	15.96	15.69	0	10.09	19.16	17.41	21.31	22.52
26.01	27.41	25.49	25.66	10.09	0	9.07	7.38	11.23	12.47	14.39
36.26	34.3	34.66	19.16	9.07	0	2.28	2.27	3.67	5.41	8.55
32.85	33.04	17.41	7.38	2.28	0	4	5.11	7.08	10.21	10.46
36.87	21.31	11.23	2.27	4	0	1.44	3.17	6.32	6.7	5.83
22.52	12.47	3.67	5.11	1.44	0	2	5.1	5.37	4.47	4.99
14.39	5.41	7.08	3.17	2	0	3.15	3.57	2.8	3.55	3.55
8.55	10.21	6.32	5.1	3.15	0	0.94	1.38	2.15	2.15	3.51
10.46	6.7	5.37	3.57	0.94	0	1	1.38	1.38	2.77	2.77
5.83	4.47	2.8	1.38	1	0	0.96	0.96	2.18	2.18	2.88
4.99	3.55	2.15	1.38	0.96	0	0	1.39	1.39	1.92	1.92
3.55	2.15	1.38	0.96	0	0	1.39	1.39	1.92	1.92	3.46
3.51	2.77	2.18	1.39	1.39	0	0	1.39	1.39	3.55	2.18
2.77	2.18	1.39	1.39	0	0	1.39	1.39	3.55	2.18	4.14
2.88	1.92	1.92	1.39	1.39	0	0	2.21	0.96	2.75	2.88
1.92	1.92	1.39	1.39	0	0	2.21	0.96	2.75	2.88	3.07
3.46	3.55	3.55	2.21	2.21	0	2	0.93	2.75	3.55	5.78
2.18	2.18	0.96	0.96	2	0	2.21	1.92	2.18	4.21	6.72
4.14	2.75	2.75	0.93	2.21	0	2.21	3.15	5.36	8.24	7.6
2.88	2.88	2.75	1.92	2.21	0	1	3.16	6.08	5.39	3.59
3.07	3.55	2.18	3.15	1	0	2.23	5.1	4.48	2.82	3.07
5.78	4.21	5.36	3.16	2.23	0	3	2.25	1.01	3.59	2.27
6.72	8.24	6.08	5.1	3	0	1.45	3.17	6.33	2.9	3.72
7.6	5.39	4.48	2.25	1.45	0	2	5.1	1.44	2.3	2.87
3.59	2.82	1.01	3.17	2	0	3.16	1.43	2.27	2.02	3.68
3.07	3.59	6.33	5.1	3.16	0	4	4.12	3.16	5.39	7.29
2.27	2.9	1.44	1.43	4	0	1.03	1.43	2.3	3.67	3.22
3.72	2.3	2.27	4.12	1.03	0	1	1.44	3.18	2.27	2.9
2.87	2.02	3.16	1.43	1	0	2.25	4.13	2.02	3.65	5.08
3.68	5.39	2.3	1.44	2.25	0	2	2.25	1.45	2.92	3.77
7.29	3.67	3.18	4.13	2	0	4.13	1.47	2.16	3.25	3.77
3.22	2.27	2.02	2.25	4.13	0	3	4.13	4.51	2.87	5.08
2.9	3.65	1.45	1.47	3	0	1.47	2.37	2.34	3.37	3.32
5.08	2.92	2.16	4.13	1.47	0	1.08	2.27	2.16	2.92	3.86
3.77	3.25	4.51	2.37	1.08	0	2	1.08	2.27	2.97	2.4
3.77	2.87	2.34	2.27	2	0	2.27	1.05	4.55	3.69	5.97
5.08	3.37	2.16	1.08	2.27	0	2	2.28	1.48	3.73	4.58
3.32	2.92	2.27	1.05	2	0	4.14	3.19	5.45	6.39	7.75
3.86	2.97	4.55	2.28	4.14	0	1	1.51	2.3	3.77	4.62
2.4	3.69	1.48	3.19	1	0	2.29	3.2	4.6	5.5	6.92
